id,name,owner,repository,repository_url,homepage_url,primary_category,project_type,official_status,score,stars,forks,open_issues,primary_language,license,checked_at
openbnb-org/mcp-server-airbnb,mcp-server-airbnb,openbnb-org,openbnb-org/mcp-server-airbnb,https://github.com/openbnb-org/mcp-server-airbnb,,D.20,MCP server,community,42.5,484,116,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
Raidriar7170/browser-use-vision,browser-use-vision,Raidriar7170,Raidriar7170/browser-use-vision,https://github.com/Raidriar7170/browser-use-vision,,G.44,application,community,42.4,104,2,0,Python,,2026-07-07T18:45:29.195112+00:00
Muuuun/luxas,luxas,Muuuun,Muuuun/luxas,https://github.com/Muuuun/luxas,,J.73,template,community,42.4,355,18,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
zavora-ai/adk-rust,adk-rust,zavora-ai,zavora-ai/adk-rust,https://github.com/zavora-ai/adk-rust,,G.52,template,community,42.4,536,77,0,Rust,,2026-07-07T18:45:29.195112+00:00
NadirRouter/NadirClaw,NadirClaw,NadirRouter,NadirRouter/NadirClaw,https://github.com/NadirRouter/NadirClaw,,I.64,gateway,community,42.4,570,71,0,Python,,2026-07-07T18:45:29.195112+00:00
browser-use/desktop,desktop,browser-use,browser-use/desktop,https://github.com/browser-use/desktop,,G.44,application,community,42.4,618,52,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
motherduckdb/mcp-server-motherduck,mcp-server-motherduck,motherduckdb,motherduckdb/mcp-server-motherduck,https://github.com/motherduckdb/mcp-server-motherduck,,D.20,MCP server,community,42.4,499,86,0,Python,,2026-07-07T18:45:29.195112+00:00
apache/flink-agents,flink-agents,apache,apache/flink-agents,https://github.com/apache/flink-agents,,B.6,template,community,42.4,414,139,0,Java,,2026-07-07T18:45:29.195112+00:00
synadia-ai/synadia-agents,synadia-agents,synadia-ai,synadia-ai/synadia-agents,https://github.com/synadia-ai/synadia-agents,,B.9,framework,community,42.3,62,6,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
HKUSTDial/awesome-data-agents,awesome-data-agents,HKUSTDial,HKUSTDial/awesome-data-agents,https://github.com/HKUSTDial/awesome-data-agents,,E.36,template,community,42.3,629,45,0,Python,,2026-07-07T18:45:29.195112+00:00
hrithikkoduri/WebRover,WebRover,hrithikkoduri,hrithikkoduri/WebRover,https://github.com/hrithikkoduri/WebRover,,J.75,template,community,42.3,993,172,0,Python,,2026-07-07T18:45:29.195112+00:00
Agents365-ai/paper-fetch,paper-fetch,Agents365-ai,Agents365-ai/paper-fetch,https://github.com/Agents365-ai/paper-fetch,,E.35,library,community,42.2,146,7,0,Python,,2026-07-07T18:45:29.195112+00:00
NapthaAI/http-oauth-mcp-server,http-oauth-mcp-server,NapthaAI,NapthaAI/http-oauth-mcp-server,https://github.com/NapthaAI/http-oauth-mcp-server,,D.20,MCP server,community,42.2,105,17,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
themanojdesai/python-a2a,python-a2a,themanojdesai,themanojdesai/python-a2a,https://github.com/themanojdesai/python-a2a,,E.34,template,community,42.2,999,138,0,Python,,2026-07-07T18:45:29.195112+00:00
krishnaik06/Roadmap-To-Learn-Agentic-AI,Roadmap-To-Learn-Agentic-AI,krishnaik06,krishnaik06/Roadmap-To-Learn-Agentic-AI,https://github.com/krishnaik06/Roadmap-To-Learn-Agentic-AI,,H.55,template,community,42.1,997,304,0,,,2026-07-07T18:45:29.195112+00:00
NeoTheCapt/RedteamAgent,RedteamAgent,NeoTheCapt,NeoTheCapt/RedteamAgent,https://github.com/NeoTheCapt/RedteamAgent,,H.55,template,community,42.1,87,18,0,Python,,2026-07-07T18:45:29.195112+00:00
TimFryAI/burner-agents,burner-agents,TimFryAI,TimFryAI/burner-agents,https://github.com/TimFryAI/burner-agents,,B.6,template,community,42.1,646,24,0,Python,,2026-07-07T18:45:29.195112+00:00
e2b-dev/awesome-mcp-gateways,awesome-mcp-gateways,e2b-dev,e2b-dev/awesome-mcp-gateways,https://github.com/e2b-dev/awesome-mcp-gateways,,D.24,gateway,community,42.1,152,55,0,Python,,2026-07-07T18:45:29.195112+00:00
FudanSELab/Agent4SE-Paper-List,Agent4SE-Paper-List,FudanSELab,FudanSELab/Agent4SE-Paper-List,https://github.com/FudanSELab/Agent4SE-Paper-List,,B.6,template,community,42.1,549,35,0,,,2026-07-07T18:45:29.195112+00:00
camel-ai/crab,crab,camel-ai,camel-ai/crab,https://github.com/camel-ai/crab,,G.52,template,community,42.1,424,62,0,Python,,2026-07-07T18:45:29.195112+00:00
qingchencloud/clawapp,clawapp,qingchencloud,qingchencloud/clawapp,https://github.com/qingchencloud/clawapp,,E.35,library,community,42.1,435,56,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
modelcontextprotocol/servers-archived,servers-archived,modelcontextprotocol,modelcontextprotocol/servers-archived,https://github.com/modelcontextprotocol/servers-archived,,D.20,template,community,42.1,286,162,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
run-llama/chat-llamaindex,chat-llamaindex,run-llama,run-llama/chat-llamaindex,https://github.com/run-llama/chat-llamaindex,,H.55,template,community,42.0,985,274,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
craigsdennis/talk-to-javascript-openai-workers,talk-to-javascript-openai-workers,craigsdennis,craigsdennis/talk-to-javascript-openai-workers,https://github.com/craigsdennis/talk-to-javascript-openai-workers,,E.35,library,community,42.0,323,94,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
superloglabs/superlog,superlog,superloglabs,superloglabs/superlog,https://github.com/superloglabs/superlog,,F.37,library,community,42.0,995,74,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
anthropics/launch-your-agent,launch-your-agent,anthropics,anthropics/launch-your-agent,https://github.com/anthropics/launch-your-agent,,J.81,template,community,42.0,746,140,0,HTML,,2026-07-07T18:45:29.195112+00:00
hyf020908/langgraph-agentops-studio,langgraph-agentops-studio,hyf020908,hyf020908/langgraph-agentops-studio,https://github.com/hyf020908/langgraph-agentops-studio,,B.8,framework,community,41.9,135,4,0,Python,,2026-07-07T18:45:29.195112+00:00
agno-agi/investment-team,investment-team,agno-agi,agno-agi/investment-team,https://github.com/agno-agi/investment-team,,J.75,template,community,41.9,153,41,0,Python,,2026-07-07T18:45:29.195112+00:00
cubist38/mlx-openai-server,mlx-openai-server,cubist38,cubist38/mlx-openai-server,https://github.com/cubist38/mlx-openai-server,,E.35,library,community,41.9,351,66,0,Python,,2026-07-07T18:45:29.195112+00:00
